Date,Temp(F),Humidity,wind speed,AQI
Mar-01,72.8,62.9,5.5,160
Mar-02,72.8,64.4,6.5,179
Mar-03,73.6,59.5,7.4,171
Mar-04,76.8,60.1,5.6,157
Mar-05,78.1,62.9,5.3,154
Mar-06,77.3,64.5,3.9,165
Mar-07,77.8,64.1,2.0 ,199
Mar-08,78.1,65.4,2.4,177
Mar-09,79.0 ,71.0 ,3.6,184
Mar-10,80.9,65.4,1.0 ,206
Mar-11,80.0 ,58.4,2.4,169
Mar-12,82.2,46.7,5.3,152
Mar-13,79.6,55.4,5.1,154
Mar-14,77.0 ,55.5,2.5,148
Mar-15,75.1,59.6,4.8,122
Mar-16,75.4,55.5,4.4,115
Mar-17,74.9,62.0 ,0.8,156
Mar-18,74.9,70.3,1.6,173
Mar-19,69.5,84.3,3.1,152
Mar-20,64.3,95.5,1.5,158
Mar-21,69.5,77.4,2.4,158
Mar-22,72.9,67.1,3.8,158
Mar-23,73.6,75.0 ,3.8,147
Mar-24,75.3,66.6,0.6,165
Mar-25,77.8,59.5,2.6,164
Mar-26,81.4,51.4,1.3,147
Mar-27,77.0 ,62.6,2.3,127
Mar-28,78.6,59.8,1.4,141
,,,,
